Unnamed: 0,0,1,0,wiI7pd
452,"{'label': 'POSITIVE', 'score': 0.9596996307373047}","{'label': 'NEGATIVE', 'score': 0.9994916915893555}",453.0,"Food was disgusting! chicken extremely salty! Tasted kind of old. employee was very rushy! it was 3:00 in the day, no one was in there... i feel like that is the time where you should be able to provide the best costumer service. I love chipotle, i eat it 3 times a week, but i will never return to this one again."
453,"{'label': 'POSITIVE', 'score': 0.9836061000823975}","{'label': 'NEGATIVE', 'score': 0.9995101690292358}",454.0,"Tried the Chipotle Mexican Grill bowl, double white rice, double chicken, no beans, red salsa, double lettuce, pico de gallo, cheese
and guac. So fresh, clean and delicious. Great interaction with staff. Would highly recommend this Chipotle location."
454,"{'label': 'POSITIVE', 'score': 0.9870734214782715}","{'label': 'POSITIVE', 'score': 0.9989308714866638}",455.0,"I wold recommend that you come early or later than the lunch hour if you choose to eat here. The line can get very long at noon, stretches out the door. I enjoy eating lunch here because the food is always fresh, and I can get exactly what …"
455,"{'label': 'NEGATIVE', 'score': 0.7641012668609619}","{'label': 'POSITIVE', 'score': 0.998848557472229}",456.0,"This restaurant receives the highest marks I can give a Chipotle.  There was a huge line when I stopped here for lunch.  However, the staff was FAST and there was less of a wait than others I had been to with shorter lines.  And the food was as good as Chipotle offers.  I wish the whole chain operated this way."
456,"{'label': 'NEGATIVE', 'score': 0.9767239093780518}","{'label': 'POSITIVE', 'score': 0.9988536834716797}",457.0,I don't understand how anyone can think this is good food. Service was fine but the way they make the burrito makes no sense. First off the whole thing is cold- you have to make a burrito and then let it sit on the grill when it's done so …
457,"{'label': 'POSITIVE', 'score': 0.986199140548706}","{'label': 'NEGATIVE', 'score': 0.9995110034942627}",458.0,"I visit this location about once a week, and it's safe to say that I haven't had a properly wrapped burrito in several months. Another manager needs to come to this location as a secret shopper and see what I'm talking about. I get ripped …"
458,"{'label': 'POSITIVE', 'score': 0.9811751246452332}","{'label': 'NEGATIVE', 'score': 0.9994958639144897}",459.0,Ordering at this Chipotle should be an Olympic sport considering how fast you need to decide on what you want. This is going to sound like a good thing but it’s not. The ordering process is too fast. I don’t even have time to think about …
459,"{'label': 'NEGATIVE', 'score': 0.5794072151184082}","{'label': 'NEGATIVE', 'score': 0.9995012283325195}",460.0,I really like chipotle but this location is not patronized well due to staff poor attitude don't come to this location
460,"{'label': 'POSITIVE', 'score': 0.9796215295791626}","{'label': 'NEGATIVE', 'score': 0.9994962215423584}",461.0,Love this place. Very spacious. Plenty of space to sit. Very courteous staff and generous with the portions which I absolutely love! Margaritas are the bomb! My favorite location downtown Chicago. I've never seen it too crowded so I get my food faster than at other locations.
461,"{'label': 'POSITIVE', 'score': 0.9846518039703369}","{'label': 'POSITIVE', 'score': 0.9989333748817444}",462.0,"My go-to spot for a ""later"" dinner option in my neighborhood when I am too tired too cook and do not want to pay for delivery.  Professional, fast, and good quality. You can regularly see people actually cleaning their kitchen and cooking …"
462,"{'label': 'POSITIVE', 'score': 0.9827531576156616}","{'label': 'POSITIVE', 'score': 0.9989234805107117}",463.0,"Located across from Union Station this is a great option for quick bite. Their service is good and friendly.
As per the law they will check for vaccination proof."
463,"{'label': 'POSITIVE', 'score': 0.9873768091201782}","{'label': 'POSITIVE', 'score': 0.998904824256897}",464.0,This place is horrible. Dirty ... Everyone is unhappy. Never smiling and rude. Most managers aren't serious.. They need to lead by example. They get an attitude when I ask for plain rice. I don't understand. I love the cashier Rihanna she's the best! Fire everyone else
464,"{'label': 'POSITIVE', 'score': 0.9795658588409424}","{'label': 'NEGATIVE', 'score': 0.9995008707046509}",465.0,"This was my first time in Chipotle, They helped me out with my order. The food was very good. This place was clean.  Will definitely start going to Chipotle. Oh, they gave us free large drink for being a first timer!!! Thank you so much!!!"
465,"{'label': 'POSITIVE', 'score': 0.9392301440238953}","{'label': 'POSITIVE', 'score': 0.9989097118377686}",466.0,My experiences at all chipotles have been wonderful including ones out of the state. This location is one that I have had the most trouble with. I came here once and there were fruit flies all over the place I tried to eat my food …
466,"{'label': 'POSITIVE', 'score': 0.9849936962127686}","{'label': 'NEGATIVE', 'score': 0.9985153079032898}",467.0,The staff was exceptional as always but even more so last night. They close at 9pm. It's 8:54 and they still served us with a smile and gratitude. We know the staff wanted to leave. There was no hesitation on their part. Thank you!
467,"{'label': 'NEGATIVE', 'score': 0.9806297421455383}","{'label': 'POSITIVE', 'score': 0.9988971948623657}",468.0,This is well ran establishment. It's extremely clean and the food was delicious. I came at the end of the night and the quality of food was still great. A man by the name of Kemon James completed my order and he was very professional; his staff as well.
468,"{'label': 'NEGATIVE', 'score': 0.5553726553916931}","{'label': 'POSITIVE', 'score': 0.9989097118377686}",469.0,"One of the best Chipotles in the area! Every once in a while, they will skimp on the meat or rice, but never have a problem adding extra if you ask them. Lines are out the door during lunch hours, but its better than crossing the river for the other location"
469,"{'label': 'POSITIVE', 'score': 0.8481495380401611}","{'label': 'POSITIVE', 'score': 0.9988866448402405}",470.0,"This location chose me a highly qualified man, for an interview. I knew just by the end of my interview that i would not recieve a call back. The interviewer focused more on my hair than the facts i knew of the restaurant to even consider …"
470,"{'label': 'POSITIVE', 'score': 0.9881715178489685}","{'label': 'NEGATIVE', 'score': 0.999489426612854}",471.0,Terrible Sevice. I tell them I'm there for a Order. The Lady at Cashier states look to see if it's on Table. I tell her No. Another Gentemen Next to her comes over and Looks. He then states it will be a Few Minutes. 25 Minutes Later I …
471,"{'label': 'POSITIVE', 'score': 0.9841912984848022}","{'label': 'NEGATIVE', 'score': 0.9994990825653076}",472.0,The food is good beac auw you watch them make it but Don't go during rush hour ! They rush to make your food and the customer service is not good. I went during rush hour at 12p and they made my food the way they wanted too  ! I wanted …
472,"{'label': 'POSITIVE', 'score': 0.9287230968475342}","{'label': 'NEGATIVE', 'score': 0.9993314743041992}",473.0,"Picked up our order and observed that the person preparing the food wears his mask below the nose (""Nose slinger""). Chipotle should take better care of enforcement of standards."
473,"{'label': 'POSITIVE', 'score': 0.9794958233833313}","{'label': 'NEGATIVE', 'score': 0.9994926452636719}",474.0,It's Chipotle so the food is generally ok. Provided they wrap your burrito correctly. I don't come here often but I've had a couple disintegrate in my hands. The line gets ridiculous during lunch hour though. I stopped coming here because of that and the ecoli issue.
474,"{'label': 'POSITIVE', 'score': 0.9770220518112183}","{'label': 'NEGATIVE', 'score': 0.9994978904724121}",475.0,"The food is good, the one thing I really don't like is that the portions are never correct.  They always under serve the beans and meat!  They don't fill the spoon all the way.  They are too quick which causes errors."
475,"{'label': 'POSITIVE', 'score': 0.9031587243080139}","{'label': 'NEGATIVE', 'score': 0.9788716435432434}",476.0,"Tasty and consistent fresh food. My favorite: a burrito bowl with brown rice, black beans, carnitas, and guac on top."
476,"{'label': 'POSITIVE', 'score': 0.9875726699829102}","{'label': 'POSITIVE', 'score': 0.9989226460456848}",477.0,"In June 2018 I visited Chicago and had lunch over here with my nephew, both of us vomited badly. that's first time vomitting in 5 years and I fainted lying down on airplane floor. I consider myself very healthy and I complained to Chipotle …"
477,"{'label': 'POSITIVE', 'score': 0.9590847492218018}","{'label': 'NEGATIVE', 'score': 0.9992751479148865}",478.0,"Fast and friendly service. As expected of Chipotle, the bowls are always good, the Queso and Guacamole are always fresh 😋 …"
478,"{'label': 'NEGATIVE', 'score': 0.984135091304779}","{'label': 'POSITIVE', 'score': 0.9989286065101624}",479.0,Good service and friendly staff. The place gets really crowded during lunch and the lines are really long. The location seems to be out of key ingredients even during lean hours sometimes making the wait longer.
479,"{'label': 'POSITIVE', 'score': 0.9659867882728577}","{'label': 'POSITIVE', 'score': 0.9972063899040222}",480.0,"Good food but they work so fast they are very skimpy with everything, my bowl was avouthalf full while other peoples with the same ingredients were much more full. Then they murder it with lettuce, I'd like some chipotle with my lettuce please, otherwise the people are nice."
480,"{'label': 'NEGATIVE', 'score': 0.9669541716575623}","{'label': 'NEGATIVE', 'score': 0.9991242289543152}",481.0,"A bit pricier than other Chipotles I've been to, but this place is by far the tastiest. Some Chipotles skimp on portion size, and others are fairly generous. This Chipotle is somewhere between just right and generous."
481,"{'label': 'POSITIVE', 'score': 0.9885936975479126}","{'label': 'POSITIVE', 'score': 0.9989140033721924}",482.0,"Service was great, food was delicious and ambiance was cute & romantic. The server was very nice, gave us bruschetta while we wait for the food and strawberry panna cotta for dessert (which were both really good). …"
482,"{'label': 'POSITIVE', 'score': 0.9818257093429565}","{'label': 'POSITIVE', 'score': 0.9989181756973267}",483.0,The staff here was very helpful and customer friendly and the food is good just like other Chipotles that I have been to
483,"{'label': 'POSITIVE', 'score': 0.9816368222236633}","{'label': 'POSITIVE', 'score': 0.9989069700241089}",484.0,"Good food. Order ahead to skip the long line at lunch time. Their guacamole is okay, but expensive so I buy the individual serving type from my grocery store."
484,"{'label': 'POSITIVE', 'score': 0.9452856183052063}","{'label': 'POSITIVE', 'score': 0.9984978437423706}",485.0,This place is consistent. Flavors are always as expected. Service is fast and staff is friendly. Chipotle is awesome because it has veggie and vegan options.
485,"{'label': 'POSITIVE', 'score': 0.9382286071777344}","{'label': 'POSITIVE', 'score': 0.9989198446273804}",486.0,"This location just cannot get the rice right. Been here a bunch and 9/10 times it's too clumpy/moist, horribly over salted, or trash for other reasons. This is always during lunch rush so not like it's been sitting around."
486,"{'label': 'POSITIVE', 'score': 0.9857454299926758}","{'label': 'NEGATIVE', 'score': 0.9995077848434448}",487.0,Rude when I asked for plain tomatoes instead of salsa. No one felt like cutting it it out thru a machine. After talking to the general manager they just gave me a whole tomato instead. My burrito was getting cold as this took almost 10 minutes to sort out.
487,"{'label': 'POSITIVE', 'score': 0.9572978615760803}","{'label': 'NEGATIVE', 'score': 0.9994996786117554}",488.0,"Usually love going to this location, visited 45 minutes before closing time today and they were already locking up the doors and then said they were out of rice and refused to make more. Kinda sucks they’re one of the few open food places in the west side of the loop at this time and definitely the only healthier option."
488,"{'label': 'POSITIVE', 'score': 0.9838371872901917}","{'label': 'NEGATIVE', 'score': 0.9995001554489136}",489.0,"Always love the veggie burrito. The spicy salsa, cilantro rice cannot be replicated anywhere else. The chips and guacamole are also consistent. Hands down best taste for a veggie burrito."
489,"{'label': 'POSITIVE', 'score': 0.9695066809654236}","{'label': 'POSITIVE', 'score': 0.9989039897918701}",490.0,"This Chipolte is pretty consistent, always a line- but they move you thru the line quickly.  The restaurant is always clean, I do wish they would pay more attention to their ice tea brewing- because in the evenings its always out and they …"
490,"{'label': 'NEGATIVE', 'score': 0.9785478115081787}","{'label': 'POSITIVE', 'score': 0.9988380074501038}",491.0,"We ordered take out from here literally right before they closed, and everything was still prepared really well and with care. Appreciate it!"
491,"{'label': 'POSITIVE', 'score': 0.9820934534072876}","{'label': 'POSITIVE', 'score': 0.9989342093467712}",492.0,"service was rude and very very very very stingy on what you pay 4, worst chipotle in Chicago ,they give you attitude if you ask for a decent amount of a portion, isn't the whole gimmick is that you get large portions of what you want at …"
492,"{'label': 'POSITIVE', 'score': 0.9841687083244324}","{'label': 'NEGATIVE', 'score': 0.9995039701461792}",493.0,"My fiancé came to visit me in Chicago from Vancouver. On July 23, 2017, before we went to board our train, she ate Chipotle Mexican Grill at the location on 525 W Monroe St L1A, Chicago, IL 60661 and became ill a few hours later. …"
493,"{'label': 'POSITIVE', 'score': 0.9852986335754395}","{'label': 'NEGATIVE', 'score': 0.9983516931533813}",494.0,"Excellent, healthy food. One burrito is perfect for a heavy lunch.
At $10(buritto+soda+taxes), its bit expensive, but considering the high quality meat used-its decent price only."
494,"{'label': 'NEGATIVE', 'score': 0.8129900693893433}","{'label': 'POSITIVE', 'score': 0.99885094165802}",495.0,"Picked up an online order, only to realize at home that they gave me something completely different. One mess up is okay, but two orders being totally not even close to what I ordered is an issue."
495,"{'label': 'POSITIVE', 'score': 0.8845462799072266}","{'label': 'NEGATIVE', 'score': 0.999503493309021}",496.0,"I like Chipotle, they don't serve authentic mexican but the amount they serve is totally filling. So worth it. I mostly prefer the rice bowl with chicken and the fried veggies is awesome."
496,"{'label': 'NEGATIVE', 'score': 0.6637088060379028}","{'label': 'POSITIVE', 'score': 0.9989147186279297}",497.0,"Do yourself a favor and walk the extra distance to another location. Employees will touch doors and other objects with the same gloves they handle your food with. They also don’t understand proper portion sizes, especially when you pay for extra."
497,"{'label': 'POSITIVE', 'score': 0.9576386213302612}","{'label': 'NEGATIVE', 'score': 0.9995080232620239}",498.0,"I'm pretty certain Chipotle puts crack in their food - I mean, I don't know how else to explain this addiction I have for their food.  Insane - I try to only go once a week but I'm a weak weak man.  Guac is a must here - get the bowl and have a party....in your mouth"
498,"{'label': 'POSITIVE', 'score': 0.9874405860900879}","{'label': 'POSITIVE', 'score': 0.9979637861251831}",499.0,"Wasnt really feeling the way the employee handled my order. Very stingy with the rice,  Im not a kid!"
499,"{'label': 'POSITIVE', 'score': 0.5447078943252563}","{'label': 'NEGATIVE', 'score': 0.9994885921478271}",500.0,Rice was half cooked.  I went for replacement and I still got the same half  cooked rice in the bowl.
500,"{'label': 'NEGATIVE', 'score': 0.9479108452796936}","{'label': 'NEGATIVE', 'score': 0.999497652053833}",501.0,Very convenient place in every way.Surely will come back again
501,"{'label': 'POSITIVE', 'score': 0.9837259650230408}","{'label': 'POSITIVE', 'score': 0.9988565444946289}",502.0,"Great place to grab a quick bite of protein rich food...a healthier option compared to other junk food items and much better in taste..bowls, burritos, salads are amongst the options on offer to be customized.."
502,"{'label': 'POSITIVE', 'score': 0.9892253279685974}","{'label': 'POSITIVE', 'score': 0.9989155530929565}",503.0,It has a nice atmosphere later in the evenings after 6.  But I was recently disturbed when I notice some of their employees smoking pot on the south east part of the building behind the Panda express restaurant in broad daylight.
503,"{'label': 'POSITIVE', 'score': 0.9925806522369385}","{'label': 'NEGATIVE', 'score': 0.9988523721694946}",504.0,"The night manager there on Friday July 9th was super sweet and kind.
Great service, clean and accessable."
504,"{'label': 'POSITIVE', 'score': 0.9904419183731079}","{'label': 'POSITIVE', 'score': 0.998852014541626}",505.0,This location was okay. The Employees seem like they didn't really wanna be there. But hey ppl should pick their Careers better...
505,"{'label': 'POSITIVE', 'score': 0.9831402897834778}","{'label': 'NEGATIVE', 'score': 0.99947589635849}",506.0,bad service they change 3 severs to prepare my order
506,"{'label': 'POSITIVE', 'score': 0.9924365878105164}","{'label': 'NEGATIVE', 'score': 0.999497652053833}",507.0,"Glad they were still open, staff's energy was still very upbeat and polite. Food was delish."
507,"{'label': 'POSITIVE', 'score': 0.9881762266159058}","{'label': 'POSITIVE', 'score': 0.9989172220230103}",508.0,Really appreciate the workers here. They are always working so hard and yet treat me like fimily. The food is always fresh and ready
508,"{'label': 'NEGATIVE', 'score': 0.888350248336792}","{'label': 'POSITIVE', 'score': 0.9989134073257446}",509.0,they inadvertently mix the beef with other meet. if you order veggie be ready to get meat.
509,"{'label': 'POSITIVE', 'score': 0.9862729907035828}","{'label': 'NEGATIVE', 'score': 0.9989079236984253}",510.0,Food prep area was a disaster
510,"{'label': 'POSITIVE', 'score': 0.7241353988647461}","{'label': 'NEGATIVE', 'score': 0.9994907379150391}",511.0,"Friendly staff, it's literally Chipotle idk what else you'd expect. Their new briskets option is pretty good though."
511,"{'label': 'POSITIVE', 'score': 0.9939239621162415}","{'label': 'POSITIVE', 'score': 0.9984564781188965}",512.0,"Awesome staff, I go here 3x a week and it's always great."
512,"{'label': 'POSITIVE', 'score': 0.9610458612442017}","{'label': 'POSITIVE', 'score': 0.9989147186279297}",513.0,Take advantage of online ordering during weekday lunch rush. Food is the same you will get at any Chipotle location but the staff is quick and friendly.
513,"{'label': 'POSITIVE', 'score': 0.9814385175704956}","{'label': 'POSITIVE', 'score': 0.9988800883293152}",514.0,Freshest and most delicious chicken 1/2 barbacoa burrito I've had in a while from chiptole! This store rocks! Keep it up!
514,"{'label': 'POSITIVE', 'score': 0.9860411286354065}","{'label': 'POSITIVE', 'score': 0.9989250302314758}",515.0,"They were rude, didn’t give enough ingredients and showed no care when putting my order together."
515,"{'label': 'POSITIVE', 'score': 0.9841750264167786}","{'label': 'NEGATIVE', 'score': 0.9995101690292358}",516.0,"Great food and they're very fast. People complain about the line, but they move through it very quickly. It is just a very popular location."
516,"{'label': 'POSITIVE', 'score': 0.9596933126449585}","{'label': 'POSITIVE', 'score': 0.9989240765571594}",517.0,"Management are awful, rude, and harass their workers. Sad really"
517,"{'label': 'POSITIVE', 'score': 0.9869699478149414}","{'label': 'NEGATIVE', 'score': 0.9994972944259644}",518.0,Staff went above and beyond to cater our office lunch! Great management. Food was fantastic.
518,"{'label': 'POSITIVE', 'score': 0.9758495688438416}","{'label': 'POSITIVE', 'score': 0.9988749623298645}",519.0,"Place is on point! They always have fresh food, they never run out of supplies, and there staff is friendly!"
519,"{'label': 'POSITIVE', 'score': 0.9873872399330139}","{'label': 'POSITIVE', 'score': 0.9989240765571594}",520.0,I just ordered a burrito on Uber East from here at 4 pm whoever is in that kitchen seasoning this meat bless you it was the best flavorful burrito I’ve had from chipotle 😋😋 …
520,"{'label': 'POSITIVE', 'score': 0.9699050784111023}","{'label': 'POSITIVE', 'score': 0.9988887906074524}",521.0,I like Chipotle! Only issue is that they put a lot of cold items in lukewarm meats and the whole burrito is then lukewarm.  A microwave to heat up the burrito would be great.
521,"{'label': 'POSITIVE', 'score': 0.9855651259422302}","{'label': 'NEGATIVE', 'score': 0.9904232025146484}",522.0,"The food is great, but the line moves very very slowly, even moreso than other locations in the city."
522,"{'label': 'POSITIVE', 'score': 0.9856179356575012}","{'label': 'NEGATIVE', 'score': 0.9963515996932983}",523.0,"Great portions, super fast, professional staff"
523,"{'label': 'POSITIVE', 'score': 0.881013035774231}","{'label': 'POSITIVE', 'score': 0.9989050626754761}",524.0,The burritos and tacos are their prominent servings. Decent for it's size. Tacos are really cheap for a quick snack..
524,"{'label': 'NEGATIVE', 'score': 0.9563142657279968}","{'label': 'NEGATIVE', 'score': 0.9876833558082581}",525.0,Quick service. Good food. No issues.
525,"{'label': 'NEGATIVE', 'score': 0.9707334041595459}","{'label': 'POSITIVE', 'score': 0.9989033937454224}",526.0,Good service but if you're going for lunch here there's a lot better options that won't require you to stand in the line of finance bros.
526,"{'label': 'NEGATIVE', 'score': 0.9648943543434143}","{'label': 'NEGATIVE', 'score': 0.9994165897369385}",527.0,"always the best, organic foods. Best Mexican food on the go around - had to write a review for the Chipolte guys! Fast, friendly, organic!"
527,"{'label': 'POSITIVE', 'score': 0.9870775938034058}","{'label': 'POSITIVE', 'score': 0.9988983869552612}",528.0,Delicious food love their pork carnitas rice bowl or salad bowl.  Decent price.
528,"{'label': 'NEGATIVE', 'score': 0.9506902098655701}","{'label': 'POSITIVE', 'score': 0.9988691210746765}",529.0,They are fast!  Food was great.  Restroom was clean.
529,"{'label': 'NEGATIVE', 'score': 0.9878687262535095}","{'label': 'POSITIVE', 'score': 0.9988654851913452}",530.0,they made my burrito in under a minute these guys are mad impressive
530,"{'label': 'NEGATIVE', 'score': 0.9687901735305786}","{'label': 'POSITIVE', 'score': 0.99873286485672}",531.0,"Much smaller portion sizes than every other chipotle I’ve been to. Consistently, every time"
531,"{'label': 'POSITIVE', 'score': 0.9840001463890076}","{'label': 'NEGATIVE', 'score': 0.9994144439697266}",532.0,Love me some.chipotle.  the ala carte tacos are my favorite as three is too much but two is just right.
532,"{'label': 'POSITIVE', 'score': 0.9846801161766052}","{'label': 'POSITIVE', 'score': 0.9987834095954895}",533.0,"The food is always good, but the serving size varies order by order."
533,"{'label': 'POSITIVE', 'score': 0.989352285861969}","{'label': 'POSITIVE', 'score': 0.9986428618431091}",534.0,"Friendly staff, food was made quickly and correctly."
534,"{'label': 'POSITIVE', 'score': 0.9870796799659729}","{'label': 'POSITIVE', 'score': 0.9988958835601807}",535.0,"Probably the most efficient chipotle in the world
Clears lines of 40+ people in lunch rushes in minutes …"
535,"{'label': 'POSITIVE', 'score': 0.9846521615982056}","{'label': 'POSITIVE', 'score': 0.9988221526145935}",536.0,"Decent Chipotle location, quick lunch service despite long lines. Are reasonable with meat and guac portions."
536,"{'label': 'NEGATIVE', 'score': 0.9824936985969543}","{'label': 'POSITIVE', 'score': 0.9988092184066772}",537.0,"Ran out of chicken and rice at the same time, didnt start making it until it was pretty much out....waited 20 min when i was one of the only people there"
537,"{'label': 'NEGATIVE', 'score': 0.560598611831665}","{'label': 'NEGATIVE', 'score': 0.9995076656341553}",538.0,"The service, food and workers were all great. I recommend anyone go there."
538,"{'label': 'POSITIVE', 'score': 0.9877780079841614}","{'label': 'POSITIVE', 'score': 0.9989240765571594}",539.0,As always at Chipotle: great food for an affordable price. This Chipotle was very clean and not crowded.
539,"{'label': 'POSITIVE', 'score': 0.9835365414619446}","{'label': 'POSITIVE', 'score': 0.9989235997200012}",540.0,Its just low quality
540,"{'label': 'POSITIVE', 'score': 0.8927211761474609}","{'label': 'NEGATIVE', 'score': 0.9994926452636719}",541.0,"Burrito was not well made and fell apart, carnitas was straight up unseasoned"
541,"{'label': 'POSITIVE', 'score': 0.9857644438743591}","{'label': 'NEGATIVE', 'score': 0.9995026588439941}",542.0,It seems like Chipotle is going down hill. I just don't think the food is as high quality as it used to be.
542,"{'label': 'POSITIVE', 'score': 0.9862822890281677}","{'label': 'NEGATIVE', 'score': 0.9994677901268005}",543.0,Food is ok and can be better when compared to other chipotle restaurants
543,"{'label': 'POSITIVE', 'score': 0.9853192567825317}","{'label': 'NEGATIVE', 'score': 0.9981299042701721}",544.0,"It's a Chipotle...it's as good as Chipotle can be.  That being said, I had a great meal here."
544,"{'label': 'POSITIVE', 'score': 0.9842779040336609}","{'label': 'POSITIVE', 'score': 0.9987143278121948}",545.0,Terrible customer service
545,"{'label': 'POSITIVE', 'score': 0.9672159552574158}","{'label': 'NEGATIVE', 'score': 0.9994901418685913}",546.0,"We came in with a group of 20 people and they served us all in less than ten minutes, you win chipotle"
546,"{'label': 'POSITIVE', 'score': 0.9814736247062683}","{'label': 'POSITIVE', 'score': 0.9987758994102478}",547.0,"Food was good and portions were ample.  However, bathrooms were closed."
547,"{'label': 'POSITIVE', 'score': 0.9869675040245056}","{'label': 'POSITIVE', 'score': 0.9969786405563354}",548.0,Always have a pleasant time here but avoid the noon rush of all the loop workers getting lunch.
548,"{'label': 'NEGATIVE', 'score': 0.9896402955055237}","{'label': 'POSITIVE', 'score': 0.9986743927001953}",549.0,No salsa was included just extra sour cream for app order.
549,"{'label': 'POSITIVE', 'score': 0.9746283888816833}","{'label': 'NEGATIVE', 'score': 0.9990828037261963}",550.0,"If you get a burrito bowl and two tortillas you get more food for the same price, 10/10 would recommend"
550,"{'label': 'POSITIVE', 'score': 0.9749168753623962}","{'label': 'POSITIVE', 'score': 0.9982395172119141}",551.0,"First time eating there, i asked for a suggestion and was given a shrug, bought the food and later thru it out"
551,"{'label': 'POSITIVE', 'score': 0.981864333152771}","{'label': 'NEGATIVE', 'score': 0.9984955787658691}",552.0,Quick and friendly service; clean and welcoming atmosphere.
552,"{'label': 'POSITIVE', 'score': 0.9883102178573608}","{'label': 'POSITIVE', 'score': 0.9989116191864014}",553.0,"This team is kind, fast, and delivers great food!  My first choice for lunch."
553,"{'label': 'POSITIVE', 'score': 0.9682092070579529}","{'label': 'POSITIVE', 'score': 0.9989238381385803}",554.0,It's good if u like oil free ad no spicy food
554,"{'label': 'POSITIVE', 'score': 0.9768258333206177}","{'label': 'NEGATIVE', 'score': 0.9959496259689331}",555.0,Pretty good location. They get slammed at lunch but the line moves fast.
555,"{'label': 'POSITIVE', 'score': 0.9785891175270081}","{'label': 'POSITIVE', 'score': 0.9988136291503906}",556.0,Great Chipotle like always. Fast service even during lunch time.
556,"{'label': 'POSITIVE', 'score': 0.9794687032699585}","{'label': 'POSITIVE', 'score': 0.998909592628479}",557.0,"Chipotle is always good, but the staff are always in a rush and don't always listen to what you ask for."
557,"{'label': 'POSITIVE', 'score': 0.9812581539154053}","{'label': 'NEGATIVE', 'score': 0.998672604560852}",558.0,"Nice place, though the bowl was a little smaller than usually in other Chipotle"
558,"{'label': 'POSITIVE', 'score': 0.9736918210983276}","{'label': 'POSITIVE', 'score': 0.9987358450889587}",559.0,Felipe is the best! The team is trained extremely well and everyone is extremely knowledgeable.
559,"{'label': 'POSITIVE', 'score': 0.8602766394615173}","{'label': 'POSITIVE', 'score': 0.998880922794342}",560.0,Staff was absolutely incredible. Everyone was friendly and very welcoming !! «3
560,"{'label': 'NEGATIVE', 'score': 0.9701799750328064}","{'label': 'POSITIVE', 'score': 0.9988939166069031}",561.0,Convenient location near Chicago's Union Square.Good food at reasonable prices
561,"{'label': 'POSITIVE', 'score': 0.9785274863243103}","{'label': 'POSITIVE', 'score': 0.9989184141159058}",562.0,The service here is great  and they have fantastic food
562,"{'label': 'POSITIVE', 'score': 0.9634103775024414}","{'label': 'POSITIVE', 'score': 0.9989060163497925}",563.0,"This is the worst food I've ever received from Chipotle, eat here at your risk!"
563,"{'label': 'NEGATIVE', 'score': 0.9897223114967346}","{'label': 'NEGATIVE', 'score': 0.9995027780532837}",564.0,"Long line, but the staff moves the line quickly!"
564,"{'label': 'POSITIVE', 'score': 0.9810545444488525}","{'label': 'POSITIVE', 'score': 0.9987519979476929}",565.0,Best place to get quick lunch. Usually long lines.
565,"{'label': 'POSITIVE', 'score': 0.8828483819961548}","{'label': 'NEGATIVE', 'score': 0.9898279905319214}",566.0,customer service experience was amazing the young ladies did a Great Job
566,"{'label': 'POSITIVE', 'score': 0.9689101576805115}","{'label': 'POSITIVE', 'score': 0.998896598815918}",567.0,Great place to sit down and enjoy your food!
567,"{'label': 'POSITIVE', 'score': 0.9787909984588623}","{'label': 'POSITIVE', 'score': 0.998931348323822}",568.0,Not good for Indian taste...bland food
568,"{'label': 'NEGATIVE', 'score': 0.988223135471344}","{'label': 'NEGATIVE', 'score': 0.999495267868042}",569.0,My favorite chipotle. They always give great portions of everything.
569,"{'label': 'POSITIVE', 'score': 0.9775121808052063}","{'label': 'POSITIVE', 'score': 0.9988846182823181}",570.0,They are terrible I'm not sure who is running the place but they changed the chicken isn't season correct
570,"{'label': 'POSITIVE', 'score': 0.9858506321907043}","{'label': 'NEGATIVE', 'score': 0.9995055198669434}",571.0,The fastest most efficient Chipotle staff I've ever seen.
571,"{'label': 'POSITIVE', 'score': 0.9759606122970581}","{'label': 'POSITIVE', 'score': 0.9987521171569824}",572.0,"I love it! The salad, the best. Decent prices."
572,"{'label': 'POSITIVE', 'score': 0.9910567998886108}","{'label': 'POSITIVE', 'score': 0.9989004135131836}",573.0,Yummy and quick. Sofritas is a tastey non-meat option!
573,"{'label': 'NEGATIVE', 'score': 0.9834446907043457}","{'label': 'POSITIVE', 'score': 0.9987785220146179}",574.0,"Hot, fresh and fast food topped to order at fair prices."
574,"{'label': 'POSITIVE', 'score': 0.6568878889083862}","{'label': 'POSITIVE', 'score': 0.9988977909088135}",575.0,Terrible customer service
575,"{'label': 'POSITIVE', 'score': 0.981411874294281}","{'label': 'NEGATIVE', 'score': 0.9994901418685913}",576.0,Make sure you go little early for lunch as the queue gets long long and so long .. Very busy restaurant..
576,"{'label': 'POSITIVE', 'score': 0.9823910593986511}","{'label': 'NEGATIVE', 'score': 0.9984245300292969}",577.0,Good place but very long lines durring the weekday lunch rush
577,"{'label': 'POSITIVE', 'score': 0.9623898863792419}","{'label': 'POSITIVE', 'score': 0.9943195581436157}",578.0,"A nice place to have lunch, convenient and good food."
578,"{'label': 'POSITIVE', 'score': 0.9865491986274719}","{'label': 'POSITIVE', 'score': 0.9989235997200012}",579.0,Extremely fast service with a ton of foot traffic from nearby businesses.
579,"{'label': 'POSITIVE', 'score': 0.9784720540046692}","{'label': 'POSITIVE', 'score': 0.9988501071929932}",580.0,They forgot my tortilla.. like how..
